G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 17, 2017",10:30p,,Box Score,@,Golden State Warriors,W,,122,121,1,0,W 1,19596,2:28,,False,HOU,2018
2,"Wed, Oct 18, 2017",10:00p,,Box Score,@,Sacramento Kings,W,,105,100,2,0,W 2,17583,2:10,,False,HOU,2018
3,"Sat, Oct 21, 2017",8:00p,,Box Score,,Dallas Mavericks,W,,107,91,3,0,W 3,18055,2:07,,False,HOU,2018
4,"Mon, Oct 23, 2017",8:00p,,Box Score,,Memphis Grizzlies,L,,90,98,3,1,L 1,17129,2:23,,False,HOU,2018
5,"Wed, Oct 25, 2017",7:00p,,Box Score,@,Philadelphia 76ers,W,,105,104,4,1,W 1,20682,2:09,,False,HOU,2018
6,"Fri, Oct 27, 2017",7:00p,,Box Score,@,Charlotte Hornets,W,,109,93,5,1,W 2,17339,2:10,,False,HOU,2018
7,"Sat, Oct 28, 2017",8:00p,,Box Score,@,Memphis Grizzlies,L,,89,103,5,2,L 1,17033,2:00,,False,HOU,2018
8,"Mon, Oct 30, 2017",8:00p,,Box Score,,Philadelphia 76ers,L,,107,115,5,3,L 2,16714,2:21,,False,HOU,2018
9,"Wed, Nov 1, 2017",8:00p,,Box Score,@,New York Knicks,W,,119,97,6,3,W 1,18320,2:07,,False,HOU,2018
10,"Fri, Nov 3, 2017",7:30p,,Box Score,@,Atlanta Hawks,W,,119,104,7,3,W 2,14087,2:01,,False,HOU,2018
11,"Sun, Nov 5, 2017",7:00p,,Box Score,,Utah Jazz,W,,137,110,8,3,W 3,16914,2:06,,False,HOU,2018
12,"Thu, Nov 9, 2017",8:00p,,Box Score,,Cleveland Cavaliers,W,,117,113,9,3,W 4,18055,2:25,,False,HOU,2018
13,"Sat, Nov 11, 2017",8:00p,,Box Score,,Memphis Grizzlies,W,,111,96,10,3,W 5,18055,2:04,,False,HOU,2018
14,"Sun, Nov 12, 2017",6:00p,,Box Score,@,Indiana Pacers,W,,118,95,11,3,W 6,15581,2:02,,False,HOU,2018
15,"Tue, Nov 14, 2017",8:00p,,Box Score,,Toronto Raptors,L,,113,129,11,4,L 1,18055,2:23,,False,HOU,2018
16,"Thu, Nov 16, 2017",10:30p,,Box Score,@,Phoenix Suns,W,,142,116,12,4,W 1,16875,2:14,,False,HOU,2018
17,"Sat, Nov 18, 2017",8:00p,,Box Score,@,Memphis Grizzlies,W,,105,83,13,4,W 2,17266,2:08,,False,HOU,2018
18,"Wed, Nov 22, 2017",8:00p,,Box Score,,Denver Nuggets,W,,125,95,14,4,W 3,18055,2:06,,False,HOU,2018
19,"Sat, Nov 25, 2017",8:00p,,Box Score,,New York Knicks,W,,117,102,15,4,W 4,18055,2:07,,False,HOU,2018
20,"Mon, Nov 27, 2017",8:00p,,Box Score,,Brooklyn Nets,W,,117,103,16,4,W 5,16189,2:03,,False,HOU,2018
21,"Wed, Nov 29, 2017",8:00p,,Box Score,,Indiana Pacers,W,,118,97,17,4,W 6,16760,1:57,,False,HOU,2018
22,"Sun, Dec 3, 2017",9:30p,,Box Score,@,Los Angeles Lakers,W,,118,95,18,4,W 7,18997,2:08,,False,HOU,2018
23,"Thu, Dec 7, 2017",10:30p,,Box Score,@,Utah Jazz,W,,112,101,19,4,W 8,18306,2:14,,False,HOU,2018
24,"Sat, Dec 9, 2017",10:00p,,Box Score,@,Portland Trail Blazers,W,,124,117,20,4,W 9,19503,2:10,,False,HOU,2018
25,"Mon, Dec 11, 2017",8:00p,,Box Score,,New Orleans Pelicans,W,,130,123,21,4,W 10,18055,2:04,,False,HOU,2018
26,"Wed, Dec 13, 2017",9:30p,,Box Score,,Charlotte Hornets,W,,108,96,22,4,W 11,16509,2:07,,False,HOU,2018
27,"Fri, Dec 15, 2017",9:30p,,Box Score,,San Antonio Spurs,W,,124,109,23,4,W 12,18055,2:07,,False,HOU,2018
