G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 29, 2014",9:00p,,Box Score,,Houston Rockets,L,,93,104,0,1,L 1,19911,2:03,,False,UTA,2015
2,"Thu, Oct 30, 2014",8:30p,,Box Score,@,Dallas Mavericks,L,,102,120,0,2,L 2,19697,2:06,,False,UTA,2015
3,"Sat, Nov 1, 2014",9:00p,,Box Score,,Phoenix Suns,W,,118,91,1,2,W 1,17721,2:06,,False,UTA,2015
4,"Mon, Nov 3, 2014",10:30p,,Box Score,@,Los Angeles Clippers,L,,101,107,1,3,L 1,19060,2:10,,False,UTA,2015
5,"Wed, Nov 5, 2014",9:00p,,Box Score,,Cleveland Cavaliers,W,,102,100,2,3,W 1,19911,2:16,,False,UTA,2015
6,"Fri, Nov 7, 2014",9:00p,,Box Score,,Dallas Mavericks,L,,82,105,2,4,L 1,18419,2:06,,False,UTA,2015
7,"Sun, Nov 9, 2014",6:00p,,Box Score,@,Detroit Pistons,W,,97,96,3,4,W 1,12888,2:08,,False,UTA,2015
8,"Mon, Nov 10, 2014",7:00p,,Box Score,@,Indiana Pacers,L,,86,97,3,5,L 1,12513,2:13,,False,UTA,2015
9,"Wed, Nov 12, 2014",7:30p,,Box Score,@,Atlanta Hawks,L,,97,100,3,6,L 2,12595,2:03,,False,UTA,2015
10,"Fri, Nov 14, 2014",7:30p,,Box Score,@,New York Knicks,W,,102,100,4,6,W 1,19812,2:31,,False,UTA,2015
11,"Sat, Nov 15, 2014",7:30p,,Box Score,@,Toronto Raptors,L,,93,111,4,7,L 1,19800,2:04,,False,UTA,2015
12,"Tue, Nov 18, 2014",9:00p,,Box Score,,Oklahoma City Thunder,W,,98,81,5,7,W 1,17190,2:09,,False,UTA,2015
13,"Fri, Nov 21, 2014",10:30p,,Box Score,@,Golden State Warriors,L,,88,101,5,8,L 1,19596,2:04,,False,UTA,2015
14,"Sat, Nov 22, 2014",9:00p,,Box Score,,New Orleans Pelicans,L,,94,106,5,9,L 2,18452,2:12,,False,UTA,2015
15,"Mon, Nov 24, 2014",9:00p,,Box Score,,Chicago Bulls,L,,95,97,5,10,L 3,18904,2:04,,False,UTA,2015
16,"Wed, Nov 26, 2014",8:00p,,Box Score,@,Oklahoma City Thunder,L,,82,97,5,11,L 4,18203,2:04,,False,UTA,2015
17,"Sat, Nov 29, 2014",9:00p,,Box Score,,Los Angeles Clippers,L,,96,112,5,12,L 5,18479,2:08,,False,UTA,2015
18,"Mon, Dec 1, 2014",9:00p,,Box Score,,Denver Nuggets,L,,101,103,5,13,L 6,16768,2:22,,False,UTA,2015
19,"Wed, Dec 3, 2014",9:00p,,Box Score,,Toronto Raptors,L,,104,123,5,14,L 7,16677,2:01,,False,UTA,2015
20,"Fri, Dec 5, 2014",9:00p,,Box Score,,Orlando Magic,L,,93,98,5,15,L 8,18997,2:12,,False,UTA,2015
21,"Mon, Dec 8, 2014",10:00p,,Box Score,@,Sacramento Kings,L,,92,101,5,16,L 9,16511,2:23,,False,UTA,2015
22,"Tue, Dec 9, 2014",9:00p,,Box Score,,San Antonio Spurs,W,,100,96,6,16,W 1,18382,2:14,,False,UTA,2015
23,"Fri, Dec 12, 2014",9:00p,,Box Score,,Miami Heat,L,,95,100,6,17,L 1,19911,2:16,,False,UTA,2015
24,"Sun, Dec 14, 2014",6:00p,,Box Score,@,Washington Wizards,L,,84,93,6,18,L 2,15220,2:05,,False,UTA,2015
25,"Tue, Dec 16, 2014",8:00p,,Box Score,@,New Orleans Pelicans,L,,111,119,6,19,L 3,13179,2:10,,False,UTA,2015
26,"Wed, Dec 17, 2014",7:30p,,Box Score,@,Miami Heat,W,,105,87,7,19,W 1,19633,2:21,,False,UTA,2015
27,"Fri, Dec 19, 2014",7:00p,,Box Score,@,Orlando Magic,W,,101,94,8,19,W 2,16032,2:11,,False,UTA,2015
28,"Sat, Dec 20, 2014",7:00p,,Box Score,@,Charlotte Hornets,L,,86,104,8,20,L 1,17384,1:57,,False,UTA,2015
29,"Mon, Dec 22, 2014",8:00p,,Box Score,@,Memphis Grizzlies,W,,97,91,9,20,W 1,16991,2:19,,False,UTA,2015
30,"Sat, Dec 27, 2014",9:00p,,Box Score,,Philadelphia 76ers,W,,88,71,10,20,W 2,18890,2:19,,False,UTA,2015
31,"Mon, Dec 29, 2014",10:30p,,Box Score,@,Los Angeles Clippers,L,,97,101,10,21,L 1,19060,2:16,,False,UTA,2015
32,"Tue, Dec 30, 2014",9:00p,,Box Score,,Minnesota Timberwolves,W,,100,94,11,21,W 1,18947,2:12,,False,UTA,2015
33,"Fri, Jan 2, 2015",9:00p,,Box Score,,Atlanta Hawks,L,,92,98,11,22,L 1,19029,2:09,,False,UTA,2015
34,"Sat, Jan 3, 2015",8:00p,,Box Score,@,Minnesota Timberwolves,W,,101,89,12,22,W 1,13702,2:04,,False,UTA,2015
35,"Mon, Jan 5, 2015",9:00p,,Box Score,,Indiana Pacers,L,,101,105,12,23,L 1,17378,2:27,,False,UTA,2015
36,"Wed, Jan 7, 2015",8:00p,,Box Score,@,Chicago Bulls,W,,97,77,13,23,W 1,21379,2:06,,False,UTA,2015
37,"Fri, Jan 9, 2015",8:00p,,Box Score,@,Oklahoma City Thunder,L,,94,99,13,24,L 1,18203,2:10,,False,UTA,2015
38,"Sat, Jan 10, 2015",8:00p,,Box Score,@,Houston Rockets,L,,82,97,13,25,L 2,18235,2:08,,False,UTA,2015
39,"Tue, Jan 13, 2015",9:00p,,Box Score,,Golden State Warriors,L,,105,116,13,26,L 3,19911,2:05,,False,UTA,2015
40,"Fri, Jan 16, 2015",9:00p,,Box Score,,Los Angeles Lakers,W,,94,85,14,26,W 1,19911,2:05,,False,UTA,2015
41,"Sun, Jan 18, 2015",7:00p,,Box Score,@,San Antonio Spurs,L,,69,89,14,27,L 1,18581,2:06,,False,UTA,2015
42,"Wed, Jan 21, 2015",7:00p,,Box Score,@,Cleveland Cavaliers,L,,92,106,14,28,L 2,20562,2:11,,False,UTA,2015
43,"Thu, Jan 22, 2015",8:00p,,Box Score,@,Milwaukee Bucks,W,,101,99,15,28,W 1,12415,2:19,,False,UTA,2015
44,"Sat, Jan 24, 2015",9:00p,,Box Score,,Brooklyn Nets,W,,108,73,16,28,W 2,19352,2:00,,False,UTA,2015
45,"Mon, Jan 26, 2015",9:00p,,Box Score,,Boston Celtics,L,,90,99,16,29,L 1,18947,2:09,,False,UTA,2015
46,"Wed, Jan 28, 2015",9:00p,,Box Score,,Los Angeles Clippers,L,,89,94,16,30,L 2,16322,2:15,,False,UTA,2015
47,"Fri, Jan 30, 2015",9:00p,,Box Score,,Golden State Warriors,W,,110,100,17,30,W 1,19295,2:10,,False,UTA,2015
48,"Tue, Feb 3, 2015",10:00p,,Box Score,@,Portland Trail Blazers,L,,102,103,17,31,L 1,19441,2:12,,False,UTA,2015
49,"Wed, Feb 4, 2015",9:00p,,Box Score,,Memphis Grizzlies,L,,90,100,17,32,L 2,19911,2:13,,False,UTA,2015
50,"Fri, Feb 6, 2015",9:00p,,Box Score,@,Phoenix Suns,L,,93,100,17,33,L 3,18055,2:00,,False,UTA,2015
51,"Sat, Feb 7, 2015",9:00p,,Box Score,,Sacramento Kings,W,,102,90,18,33,W 1,19128,2:12,,False,UTA,2015
52,"Mon, Feb 9, 2015",8:00p,,Box Score,@,New Orleans Pelicans,W,,100,96,19,33,W 2,15321,2:09,,False,UTA,2015
53,"Wed, Feb 11, 2015",8:30p,,Box Score,@,Dallas Mavericks,L,,82,87,19,34,L 1,19947,2:19,,False,UTA,2015
54,"Fri, Feb 20, 2015",9:00p,,Box Score,,Portland Trail Blazers,W,,92,76,20,34,W 1,19911,2:02,,False,UTA,2015
55,"Mon, Feb 23, 2015",9:00p,,Box Score,,San Antonio Spurs,W,,90,81,21,34,W 2,18782,2:08,,False,UTA,2015
56,"Wed, Feb 25, 2015",9:00p,,Box Score,,Los Angeles Lakers,L,,97,100,21,35,L 1,19911,2:20,,False,UTA,2015
57,"Fri, Feb 27, 2015",9:00p,,Box Score,@,Denver Nuggets,W,,104,82,22,35,W 1,15002,2:11,,False,UTA,2015
58,"Sat, Feb 28, 2015",9:00p,,Box Score,,Milwaukee Bucks,W,,82,75,23,35,W 2,19515,2:06,,False,UTA,2015
59,"Tue, Mar 3, 2015",8:00p,,Box Score,@,Memphis Grizzlies,W,,93,82,24,35,W 3,16779,2:03,,False,UTA,2015
60,"Wed, Mar 4, 2015",7:30p,,Box Score,@,Boston Celtics,L,,84,85,24,36,L 1,16354,2:13,,False,UTA,2015
61,"Fri, Mar 6, 2015",7:00p,,Box Score,@,Philadelphia 76ers,W,,89,83,25,36,W 1,15811,2:23,,False,UTA,2015
62,"Sun, Mar 8, 2015",6:00p,NBATV,Box Score,@,Brooklyn Nets,W,,95,88,26,36,W 2,17041,2:01,,False,UTA,2015
63,"Tue, Mar 10, 2015",9:00p,,Box Score,,New York Knicks,W,,87,82,27,36,W 3,17121,2:16,,False,UTA,2015
64,"Thu, Mar 12, 2015",9:00p,,Box Score,,Houston Rockets,W,,109,91,28,36,W 4,18781,2:07,,False,UTA,2015
65,"Sat, Mar 14, 2015",9:00p,,Box Score,,Detroit Pistons,W,,88,85,29,36,W 5,19911,2:17,,False,UTA,2015
66,"Mon, Mar 16, 2015",9:00p,,Box Score,,Charlotte Hornets,W,,94,66,30,36,W 6,16743,2:03,,False,UTA,2015
67,"Wed, Mar 18, 2015",10:30p,ESPN,Box Score,,Washington Wizards,L,,84,88,30,37,L 1,19498,2:25,,False,UTA,2015
68,"Thu, Mar 19, 2015",10:30p,,Box Score,@,Los Angeles Lakers,W,,80,73,31,37,W 1,17407,2:14,,False,UTA,2015
69,"Sat, Mar 21, 2015",10:30p,,Box Score,@,Golden State Warriors,L,,91,106,31,38,L 1,19596,2:06,,False,UTA,2015
70,"Mon, Mar 23, 2015",9:00p,,Box Score,,Minnesota Timberwolves,L,OT,104,106,31,39,L 2,19911,2:40,,False,UTA,2015
71,"Wed, Mar 25, 2015",9:00p,,Box Score,,Portland Trail Blazers,L,,89,92,31,40,L 3,19911,2:11,,False,UTA,2015
72,"Fri, Mar 27, 2015",9:00p,,Box Score,@,Denver Nuggets,L,,91,107,31,41,L 4,15312,2:10,,False,UTA,2015
73,"Sat, Mar 28, 2015",9:00p,,Box Score,,Oklahoma City Thunder,W,,94,89,32,41,W 1,19911,2:25,,False,UTA,2015
74,"Mon, Mar 30, 2015",8:00p,,Box Score,@,Minnesota Timberwolves,W,,104,84,33,41,W 2,12229,2:09,,False,UTA,2015
75,"Wed, Apr 1, 2015",9:00p,,Box Score,,Denver Nuggets,W,,98,84,34,41,W 3,18275,2:10,,False,UTA,2015
76,"Sat, Apr 4, 2015",10:00p,,Box Score,@,Phoenix Suns,L,,85,87,34,42,L 1,18055,2:24,,False,UTA,2015
77,"Sun, Apr 5, 2015",9:00p,,Box Score,@,Sacramento Kings,W,,101,95,35,42,W 1,16716,2:09,,False,UTA,2015
78,"Wed, Apr 8, 2015",9:00p,,Box Score,,Sacramento Kings,W,,103,91,36,42,W 2,18351,2:11,,False,UTA,2015
79,"Fri, Apr 10, 2015",9:00p,,Box Score,,Memphis Grizzlies,L,,88,89,36,43,L 1,18873,2:16,,False,UTA,2015
80,"Sat, Apr 11, 2015",10:00p,,Box Score,@,Portland Trail Blazers,W,,111,105,37,43,W 1,19908,2:14,,False,UTA,2015
81,"Mon, Apr 13, 2015",9:00p,,Box Score,,Dallas Mavericks,W,,109,92,38,43,W 2,19911,2:11,,False,UTA,2015
82,"Wed, Apr 15, 2015",8:00p,,Box Score,@,Houston Rockets,L,,91,117,38,44,L 1,18320,2:02,,False,UTA,2015
