G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Nov 1, 1991",,Box Score,,Philadelphia 76ers,W,,110,90,1,0,W 1,18676,,,False,CHI,1992
2,"Sat, Nov 2, 1991",,Box Score,@,Milwaukee Bucks,L,,107,109,1,1,L 1,18633,,,False,CHI,1992
3,"Tue, Nov 5, 1991",,Box Score,,Golden State Warriors,L,,110,118,1,2,L 2,18136,,,False,CHI,1992
4,"Wed, Nov 6, 1991",,Box Score,@,Boston Celtics,W,,132,113,2,2,W 1,14890,2:07,,False,CHI,1992
5,"Fri, Nov 8, 1991",,Box Score,,Dallas Mavericks,W,,108,92,3,2,W 2,18120,,,False,CHI,1992
6,"Sat, Nov 9, 1991",,Box Score,,Orlando Magic,W,,107,76,4,2,W 3,18131,,,False,CHI,1992
7,"Tue, Nov 12, 1991",,Box Score,,Detroit Pistons,W,,110,93,5,2,W 4,18676,,,False,CHI,1992
8,"Wed, Nov 13, 1991",,Box Score,@,Charlotte Hornets,W,,117,95,6,2,W 5,23698,,,False,CHI,1992
9,"Fri, Nov 15, 1991",,Box Score,,Milwaukee Bucks,W,,114,101,7,2,W 6,18686,,,False,CHI,1992
10,"Wed, Nov 20, 1991",,Box Score,@,Golden State Warriors,W,,112,108,8,2,W 7,15025,,,False,CHI,1992
11,"Fri, Nov 22, 1991",,Box Score,@,Seattle SuperSonics,W,OT,112,109,9,2,W 8,38067,,,False,CHI,1992
12,"Sat, Nov 23, 1991",,Box Score,@,Denver Nuggets,W,,107,100,10,2,W 9,17022,,,False,CHI,1992
13,"Tue, Nov 26, 1991",,Box Score,@,Los Angeles Clippers,W,,116,79,11,2,W 10,15800,,,False,CHI,1992
14,"Fri, Nov 29, 1991",,Box Score,@,Portland Trail Blazers,W,2OT,116,114,12,2,W 11,12888,,,False,CHI,1992
15,"Sat, Nov 30, 1991",,Box Score,@,Sacramento Kings,W,,118,102,13,2,W 12,17014,,,False,CHI,1992
16,"Wed, Dec 4, 1991",,Box Score,,Cleveland Cavaliers,W,,108,102,14,2,W 13,18489,,,False,CHI,1992
17,"Fri, Dec 6, 1991",,Box Score,,Charlotte Hornets,W,,114,96,15,2,W 14,18237,,,False,CHI,1992
18,"Sat, Dec 7, 1991",,Box Score,@,Philadelphia 76ers,L,,100,103,15,3,L 1,18168,,,False,CHI,1992
19,"Tue, Dec 10, 1991",,Box Score,,Seattle SuperSonics,W,,108,103,16,3,W 1,18061,,,False,CHI,1992
20,"Fri, Dec 13, 1991",,Box Score,,New York Knicks,W,,99,89,17,3,W 2,18676,2:00,,False,CHI,1992
21,"Sat, Dec 14, 1991",,Box Score,@,Washington Bullets,W,,113,100,18,3,W 3,18756,,,False,CHI,1992
22,"Tue, Dec 17, 1991",,Box Score,,Los Angeles Lakers,L,,89,102,18,4,L 1,18676,,,False,CHI,1992
23,"Fri, Dec 20, 1991",,Box Score,@,New Jersey Nets,W,,115,98,19,4,W 1,20049,,,False,CHI,1992
24,"Sat, Dec 21, 1991",,Box Score,,Atlanta Hawks,W,,117,103,20,4,W 2,18676,,,False,CHI,1992
25,"Wed, Dec 25, 1991",,Box Score,,Boston Celtics,W,,121,99,21,4,W 3,18676,2:08,,False,CHI,1992
26,"Thu, Dec 26, 1991",,Box Score,@,Atlanta Hawks,W,,122,111,22,4,W 4,16425,,,False,CHI,1992
27,"Sat, Dec 28, 1991",,Box Score,,Sacramento Kings,W,,127,118,23,4,W 5,18676,,,False,CHI,1992
28,"Mon, Dec 30, 1991",,Box Score,@,Indiana Pacers,W,,109,104,24,4,W 6,16530,,,False,CHI,1992
29,"Fri, Jan 3, 1992",,Box Score,@,Milwaukee Bucks,L,,108,113,24,5,L 1,18633,,,False,CHI,1992
30,"Sat, Jan 4, 1992",,Box Score,,New Jersey Nets,W,,140,96,25,5,W 1,18676,,,False,CHI,1992
31,"Tue, Jan 7, 1992",,Box Score,,Washington Bullets,W,,102,89,26,5,W 2,18236,,,False,CHI,1992
32,"Wed, Jan 8, 1992",,Box Score,@,Miami Heat,W,,108,106,27,5,W 3,15008,,,False,CHI,1992
33,"Fri, Jan 10, 1992",,Box Score,,Utah Jazz,W,,105,90,28,5,W 4,18676,,,False,CHI,1992
34,"Sat, Jan 11, 1992",,Box Score,,Miami Heat,W,,108,99,29,5,W 5,18676,,,False,CHI,1992
35,"Tue, Jan 14, 1992",,Box Score,,Philadelphia 76ers,W,,103,80,30,5,W 6,18338,,,False,CHI,1992
36,"Thu, Jan 16, 1992",,Box Score,@,Cleveland Cavaliers,W,,100,85,31,5,W 7,20273,,,False,CHI,1992
37,"Fri, Jan 17, 1992",,Box Score,,San Antonio Spurs,W,,102,96,32,5,W 8,18676,,,False,CHI,1992
38,"Sun, Jan 19, 1992",,Box Score,@,Detroit Pistons,W,,87,85,33,5,W 9,21454,,,False,CHI,1992
39,"Tue, Jan 21, 1992",,Box Score,,Phoenix Suns,W,,108,102,34,5,W 10,18676,,,False,CHI,1992
40,"Wed, Jan 22, 1992",,Box Score,@,Charlotte Hornets,W,,115,112,35,5,W 11,23698,,,False,CHI,1992
41,"Fri, Jan 24, 1992",,Box Score,,Detroit Pistons,W,,117,93,36,5,W 12,18676,,,False,CHI,1992
42,"Sat, Jan 25, 1992",,Box Score,,Houston Rockets,W,,114,100,37,5,W 13,18676,,,False,CHI,1992
43,"Tue, Jan 28, 1992",,Box Score,@,San Antonio Spurs,L,,104,109,37,6,L 1,16057,,,False,CHI,1992
44,"Thu, Jan 30, 1992",,Box Score,@,Houston Rockets,L,,102,105,37,7,L 2,16611,,,False,CHI,1992
45,"Fri, Jan 31, 1992",,Box Score,@,Dallas Mavericks,W,,107,92,38,7,W 1,17502,,,False,CHI,1992
46,"Sun, Feb 2, 1992",,Box Score,@,Los Angeles Lakers,W,,103,97,39,7,W 2,17505,,,False,CHI,1992
47,"Mon, Feb 3, 1992",,Box Score,@,Utah Jazz,L,3OT,123,126,39,8,L 1,19911,,,False,CHI,1992
48,"Wed, Feb 5, 1992",,Box Score,@,Phoenix Suns,L,,114,126,39,9,L 2,14496,,,False,CHI,1992
49,"Tue, Feb 11, 1992",,Box Score,,New Jersey Nets,W,,133,113,40,9,W 1,18233,,,False,CHI,1992
50,"Thu, Feb 13, 1992",,Box Score,@,New York Knicks,W,,106,85,41,9,W 2,19763,1:59,,False,CHI,1992
51,"Sat, Feb 15, 1992",,Box Score,,New York Knicks,W,,99,98,42,9,W 3,18676,2:10,,False,CHI,1992
52,"Mon, Feb 17, 1992",,Box Score,,Cleveland Cavaliers,L,,112,113,42,10,L 1,18676,,,False,CHI,1992
