G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 30, 2013",7:00p,,Box Score,@,Cleveland Cavaliers,L,,94,98,0,1,L 1,20562,2:23,,False,BRK,2014
2,"Fri, Nov 1, 2013",8:00p,,Box Score,,Miami Heat,W,,101,100,1,1,W 1,17732,2:54,,False,BRK,2014
3,"Sun, Nov 3, 2013",6:00p,,Box Score,@,Orlando Magic,L,,86,107,1,2,L 1,15297,2:05,,False,BRK,2014
4,"Tue, Nov 5, 2013",7:30p,,Box Score,,Utah Jazz,W,,104,88,2,2,W 1,17732,2:18,,False,BRK,2014
5,"Fri, Nov 8, 2013",7:00p,,Box Score,@,Washington Wizards,L,OT,108,112,2,3,L 1,17215,2:34,,False,BRK,2014
6,"Sat, Nov 9, 2013",7:30p,,Box Score,,Indiana Pacers,L,,91,96,2,4,L 2,17732,2:14,,False,BRK,2014
7,"Wed, Nov 13, 2013",10:00p,,Box Score,@,Sacramento Kings,L,,86,107,2,5,L 3,15122,2:07,,False,BRK,2014
8,"Fri, Nov 15, 2013",9:00p,,Box Score,@,Phoenix Suns,W,OT,100,98,3,5,W 1,15984,2:30,,False,BRK,2014
9,"Sat, Nov 16, 2013",10:30p,,Box Score,@,Los Angeles Clippers,L,,103,110,3,6,L 1,19349,2:24,,False,BRK,2014
10,"Mon, Nov 18, 2013",7:30p,,Box Score,,Portland Trail Blazers,L,,98,108,3,7,L 2,17732,2:13,,False,BRK,2014
11,"Wed, Nov 20, 2013",7:00p,,Box Score,@,Charlotte Bobcats,L,,91,95,3,8,L 3,13843,2:18,,False,BRK,2014
12,"Fri, Nov 22, 2013",8:00p,,Box Score,@,Minnesota Timberwolves,L,,81,111,3,9,L 4,15551,2:08,,False,BRK,2014
13,"Sun, Nov 24, 2013",2:00p,,Box Score,,Detroit Pistons,L,,97,109,3,10,L 5,17732,2:22,,False,BRK,2014
14,"Tue, Nov 26, 2013",7:00p,,Box Score,@,Toronto Raptors,W,,102,100,4,10,W 1,16421,2:19,,False,BRK,2014
15,"Wed, Nov 27, 2013",7:30p,,Box Score,,Los Angeles Lakers,L,,94,99,4,11,L 1,17732,2:20,,False,BRK,2014
16,"Fri, Nov 29, 2013",8:00p,,Box Score,@,Houston Rockets,L,,95,114,4,12,L 2,18138,2:02,,False,BRK,2014
17,"Sat, Nov 30, 2013",8:00p,,Box Score,@,Memphis Grizzlies,W,,97,88,5,12,W 1,17012,2:03,,False,BRK,2014
18,"Tue, Dec 3, 2013",7:30p,,Box Score,,Denver Nuggets,L,,87,111,5,13,L 1,17732,2:16,,False,BRK,2014
19,"Thu, Dec 5, 2013",7:00p,,Box Score,,New York Knicks,L,,83,113,5,14,L 2,17732,2:27,,False,BRK,2014
20,"Sat, Dec 7, 2013",8:30p,,Box Score,@,Milwaukee Bucks,W,,90,82,6,14,W 1,14963,2:10,,False,BRK,2014
21,"Tue, Dec 10, 2013",7:30p,,Box Score,,Boston Celtics,W,,104,96,7,14,W 2,15738,2:18,,False,BRK,2014
22,"Thu, Dec 12, 2013",8:00p,,Box Score,,Los Angeles Clippers,W,,102,93,8,14,W 3,15563,2:37,,False,BRK,2014
23,"Fri, Dec 13, 2013",7:30p,,Box Score,@,Detroit Pistons,L,,99,103,8,15,L 1,15159,2:26,,False,BRK,2014
24,"Mon, Dec 16, 2013",7:30p,,Box Score,,Philadelphia 76ers,W,,130,94,9,15,W 1,16733,2:10,,False,BRK,2014
25,"Wed, Dec 18, 2013",7:30p,,Box Score,,Washington Wizards,L,,107,113,9,16,L 1,16187,2:16,,False,BRK,2014
26,"Fri, Dec 20, 2013",7:00p,,Box Score,@,Philadelphia 76ers,L,OT,120,121,9,17,L 2,15267,2:37,,False,BRK,2014
27,"Mon, Dec 23, 2013",7:30p,,Box Score,,Indiana Pacers,L,,86,103,9,18,L 3,17732,2:14,,False,BRK,2014
28,"Wed, Dec 25, 2013",12:00p,,Box Score,,Chicago Bulls,L,,78,95,9,19,L 4,17732,2:16,,False,BRK,2014
29,"Fri, Dec 27, 2013",7:30p,,Box Score,,Milwaukee Bucks,W,,104,93,10,19,W 1,17732,2:15,,False,BRK,2014
30,"Sat, Dec 28, 2013",7:00p,,Box Score,@,Indiana Pacers,L,,91,105,10,20,L 1,18165,2:10,,False,BRK,2014
31,"Tue, Dec 31, 2013",7:00p,,Box Score,@,San Antonio Spurs,L,,92,113,10,21,L 2,17409,2:09,,False,BRK,2014
32,"Thu, Jan 2, 2014",8:00p,,Box Score,@,Oklahoma City Thunder,W,,95,93,11,21,W 1,18203,2:20,,False,BRK,2014
33,"Sat, Jan 4, 2014",7:30p,,Box Score,,Cleveland Cavaliers,W,,89,82,12,21,W 2,17732,2:16,,False,BRK,2014
34,"Mon, Jan 6, 2014",7:30p,,Box Score,,Atlanta Hawks,W,,91,86,13,21,W 3,15326,2:19,,False,BRK,2014
35,"Wed, Jan 8, 2014",7:30p,,Box Score,,Golden State Warriors,W,,102,98,14,21,W 4,17732,2:26,,False,BRK,2014
36,"Fri, Jan 10, 2014",8:00p,,Box Score,,Miami Heat,W,2OT,104,95,15,21,W 5,17732,3:00,,False,BRK,2014
37,"Sat, Jan 11, 2014",7:00p,,Box Score,@,Toronto Raptors,L,,80,96,15,22,L 1,19800,2:18,,False,BRK,2014
38,"Thu, Jan 16, 2014",3:00p,,Box Score,@,Atlanta Hawks,W,,127,110,16,22,W 1,18689,2:02,"at London, England",False,BRK,2014
39,"Mon, Jan 20, 2014",2:30p,,Box Score,@,New York Knicks,W,,103,80,17,22,W 2,19812,2:19,,False,BRK,2014
40,"Tue, Jan 21, 2014",7:30p,,Box Score,,Orlando Magic,W,,101,90,18,22,W 3,15482,2:01,,False,BRK,2014
41,"Fri, Jan 24, 2014",7:30p,,Box Score,,Dallas Mavericks,W,,107,106,19,22,W 4,16110,2:20,,False,BRK,2014
42,"Sun, Jan 26, 2014",6:30p,,Box Score,@,Boston Celtics,W,,85,79,20,22,W 5,18624,2:25,,False,BRK,2014
43,"Mon, Jan 27, 2014",7:30p,,Box Score,,Toronto Raptors,L,,103,104,20,23,L 1,15790,2:17,,False,BRK,2014
44,"Fri, Jan 31, 2014",8:00p,,Box Score,,Oklahoma City Thunder,L,,95,120,20,24,L 2,17732,2:15,,False,BRK,2014
45,"Sat, Feb 1, 2014",7:00p,,Box Score,@,Indiana Pacers,L,,96,97,20,25,L 3,18165,2:24,,False,BRK,2014
46,"Mon, Feb 3, 2014",7:30p,,Box Score,,Philadelphia 76ers,W,,108,102,21,25,W 1,16727,2:28,,False,BRK,2014
47,"Thu, Feb 6, 2014",8:00p,,Box Score,,San Antonio Spurs,W,,103,89,22,25,W 2,17732,2:25,,False,BRK,2014
48,"Fri, Feb 7, 2014",7:30p,,Box Score,@,Detroit Pistons,L,,95,111,22,26,L 1,13727,2:12,,False,BRK,2014
49,"Sun, Feb 9, 2014",6:00p,,Box Score,,New Orleans Pelicans,W,,93,81,23,26,W 1,17732,2:11,,False,BRK,2014
50,"Wed, Feb 12, 2014",7:30p,,Box Score,,Charlotte Bobcats,W,,105,89,24,26,W 2,16862,1:58,,False,BRK,2014
51,"Thu, Feb 13, 2014",8:00p,,Box Score,@,Chicago Bulls,L,,76,92,24,27,L 1,21500,2:24,,False,BRK,2014
52,"Wed, Feb 19, 2014",9:00p,,Box Score,@,Utah Jazz,W,,105,99,25,27,W 1,17386,2:12,,False,BRK,2014
53,"Sat, Feb 22, 2014",10:30p,,Box Score,@,Golden State Warriors,L,,86,93,25,28,L 1,19596,2:16,,False,BRK,2014
54,"Sun, Feb 23, 2014",9:00p,,Box Score,@,Los Angeles Lakers,W,,108,102,26,28,W 1,18997,2:13,,False,BRK,2014
55,"Wed, Feb 26, 2014",10:00p,,Box Score,@,Portland Trail Blazers,L,,80,124,26,29,L 1,20015,2:00,,False,BRK,2014
56,"Thu, Feb 27, 2014",10:30p,,Box Score,@,Denver Nuggets,W,,112,89,27,29,W 1,14826,2:22,,False,BRK,2014
57,"Sat, Mar 1, 2014",8:30p,,Box Score,@,Milwaukee Bucks,W,,107,98,28,29,W 2,14081,2:12,,False,BRK,2014
58,"Mon, Mar 3, 2014",7:30p,,Box Score,,Chicago Bulls,W,,96,80,29,29,W 3,17732,2:12,,False,BRK,2014
59,"Wed, Mar 5, 2014",7:30p,,Box Score,,Memphis Grizzlies,W,,103,94,30,29,W 4,17053,2:13,,False,BRK,2014
60,"Fri, Mar 7, 2014",7:30p,,Box Score,@,Boston Celtics,L,,84,91,30,30,L 1,18195,2:13,,False,BRK,2014
61,"Sun, Mar 9, 2014",6:00p,,Box Score,,Sacramento Kings,W,,104,89,31,30,W 1,17732,2:09,,False,BRK,2014
