G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 27, 2009",10:00p,,Box Score,@,Portland Trail Blazers,L,,87,96,0,1,L 1,20403,2:14,,False,HOU,2010
2,"Wed, Oct 28, 2009",10:30p,,Box Score,@,Golden State Warriors,W,,108,107,1,1,W 1,19596,2:15,,False,HOU,2010
3,"Sat, Oct 31, 2009",8:30p,,Box Score,,Portland Trail Blazers,W,,111,107,2,1,W 2,18100,2:25,,False,HOU,2010
4,"Mon, Nov 2, 2009",9:00p,,Box Score,@,Utah Jazz,W,,113,96,3,1,W 3,19911,2:14,,False,HOU,2010
5,"Wed, Nov 4, 2009",8:30p,,Box Score,,Los Angeles Lakers,L,OT,102,103,3,2,L 1,18291,2:46,,False,HOU,2010
6,"Fri, Nov 6, 2009",8:30p,,Box Score,,Oklahoma City Thunder,W,,105,94,4,2,W 1,14911,2:10,,False,HOU,2010
7,"Tue, Nov 10, 2009",8:30p,,Box Score,@,Dallas Mavericks,L,,103,121,4,3,L 1,19720,2:14,,False,HOU,2010
8,"Wed, Nov 11, 2009",8:30p,,Box Score,,Memphis Grizzlies,W,,104,79,5,3,W 1,17220,2:07,,False,HOU,2010
9,"Fri, Nov 13, 2009",10:00p,,Box Score,@,Sacramento Kings,L,,100,109,5,4,L 1,11762,2:09,,False,HOU,2010
10,"Sun, Nov 15, 2009",9:30p,,Box Score,@,Los Angeles Lakers,W,,101,91,6,4,W 1,18997,2:11,,False,HOU,2010
11,"Tue, Nov 17, 2009",8:30p,,Box Score,,Phoenix Suns,L,,105,111,6,5,L 1,16396,2:17,,False,HOU,2010
12,"Wed, Nov 18, 2009",8:00p,,Box Score,@,Minnesota Timberwolves,W,,97,84,7,5,W 1,11137,2:05,,False,HOU,2010
13,"Fri, Nov 20, 2009",7:30p,,Box Score,@,Atlanta Hawks,L,,103,105,7,6,L 1,16674,2:25,,False,HOU,2010
14,"Sat, Nov 21, 2009",8:30p,,Box Score,,Sacramento Kings,W,,113,106,8,6,W 1,16202,2:16,,False,HOU,2010
15,"Wed, Nov 25, 2009",8:30p,,Box Score,,Dallas Mavericks,L,,99,130,8,7,L 1,18157,2:07,,False,HOU,2010
16,"Fri, Nov 27, 2009",8:30p,,Box Score,,San Antonio Spurs,L,,84,92,8,8,L 2,18164,2:24,,False,HOU,2010
17,"Sun, Nov 29, 2009",7:00p,,Box Score,@,Oklahoma City Thunder,W,,100,91,9,8,W 1,18203,2:18,,False,HOU,2010
18,"Wed, Dec 2, 2009",10:30p,,Box Score,@,Los Angeles Clippers,W,,102,85,10,8,W 2,13836,2:07,,False,HOU,2010
19,"Thu, Dec 3, 2009",10:30p,,Box Score,@,Golden State Warriors,W,,111,109,11,8,W 3,16432,2:19,,False,HOU,2010
20,"Sat, Dec 5, 2009",10:00p,,Box Score,@,Portland Trail Blazers,L,,89,90,11,9,L 1,20555,2:25,,False,HOU,2010
21,"Wed, Dec 9, 2009",8:30p,,Box Score,,Cleveland Cavaliers,W,,95,85,12,9,W 1,18200,2:22,,False,HOU,2010
22,"Fri, Dec 11, 2009",7:00p,,Box Score,@,Philadelphia 76ers,W,,96,91,13,9,W 2,13991,2:23,,False,HOU,2010
23,"Sun, Dec 13, 2009",12:30p,,Box Score,@,Toronto Raptors,L,,88,101,13,10,L 1,17111,2:19,,False,HOU,2010
24,"Tue, Dec 15, 2009",8:30p,,Box Score,,Detroit Pistons,W,,107,96,14,10,W 1,14899,2:17,,False,HOU,2010
25,"Wed, Dec 16, 2009",9:00p,,Box Score,@,Denver Nuggets,L,,101,111,14,11,L 1,15753,2:14,,False,HOU,2010
26,"Fri, Dec 18, 2009",8:30p,,Box Score,@,Dallas Mavericks,W,OT,116,108,15,11,W 1,19890,2:42,,False,HOU,2010
27,"Sat, Dec 19, 2009",8:30p,,Box Score,,Oklahoma City Thunder,W,,95,90,16,11,W 2,15095,2:09,,False,HOU,2010
28,"Tue, Dec 22, 2009",8:30p,,Box Score,,Los Angeles Clippers,W,,108,99,17,11,W 3,17128,2:24,,False,HOU,2010
29,"Wed, Dec 23, 2009",7:00p,,Box Score,@,Orlando Magic,L,,87,102,17,12,L 1,17461,2:11,,False,HOU,2010
30,"Sat, Dec 26, 2009",7:30p,,Box Score,@,New Jersey Nets,W,,98,93,18,12,W 1,13374,2:14,,False,HOU,2010
31,"Sun, Dec 27, 2009",6:00p,,Box Score,@,Cleveland Cavaliers,L,,83,108,18,13,L 1,20562,2:18,,False,HOU,2010
32,"Tue, Dec 29, 2009",8:30p,,Box Score,,New Orleans Hornets,W,,108,100,19,13,W 1,18187,2:16,,False,HOU,2010
33,"Thu, Dec 31, 2009",7:00p,,Box Score,,Dallas Mavericks,W,,97,94,20,13,W 2,18306,2:04,,False,HOU,2010
34,"Sat, Jan 2, 2010",8:00p,,Box Score,@,New Orleans Hornets,L,,95,99,20,14,L 1,16020,2:17,,False,HOU,2010
35,"Tue, Jan 5, 2010",10:30p,,Box Score,@,Los Angeles Lakers,L,,79,88,20,15,L 2,18997,2:13,,False,HOU,2010
36,"Wed, Jan 6, 2010",9:00p,,Box Score,@,Phoenix Suns,L,,110,118,20,16,L 3,15811,2:11,,False,HOU,2010
37,"Sat, Jan 9, 2010",8:30p,,Box Score,,New York Knicks,W,,105,96,21,16,W 1,15693,2:05,,False,HOU,2010
38,"Tue, Jan 12, 2010",7:00p,,Box Score,@,Charlotte Bobcats,L,,94,102,21,17,L 1,11463,2:13,,False,HOU,2010
39,"Wed, Jan 13, 2010",8:30p,,Box Score,,Minnesota Timberwolves,W,3OT,120,114,22,17,W 1,15175,3:10,,False,HOU,2010
40,"Fri, Jan 15, 2010",8:30p,,Box Score,,Miami Heat,L,,106,115,22,18,L 1,16720,2:11,,False,HOU,2010
41,"Mon, Jan 18, 2010",3:00p,,Box Score,,Milwaukee Bucks,W,OT,101,98,23,18,W 1,17187,2:29,,False,HOU,2010
42,"Fri, Jan 22, 2010",8:30p,,Box Score,@,San Antonio Spurs,W,,116,109,24,18,W 2,18581,2:21,,False,HOU,2010
43,"Sat, Jan 23, 2010",8:30p,,Box Score,,Chicago Bulls,L,,97,104,24,19,L 1,18119,2:22,,False,HOU,2010
44,"Mon, Jan 25, 2010",8:30p,,Box Score,,Atlanta Hawks,L,,95,102,24,20,L 2,14998,2:16,,False,HOU,2010
45,"Wed, Jan 27, 2010",8:30p,,Box Score,,Denver Nuggets,L,,92,97,24,21,L 3,16357,2:24,,False,HOU,2010
46,"Fri, Jan 29, 2010",8:30p,,Box Score,,Portland Trail Blazers,W,,104,100,25,21,W 1,16129,2:35,,False,HOU,2010
47,"Sun, Jan 31, 2010",7:00p,,Box Score,,Phoenix Suns,L,OT,111,115,25,22,L 1,17165,2:47,,False,HOU,2010
48,"Tue, Feb 2, 2010",8:30p,,Box Score,,Golden State Warriors,W,,119,97,26,22,W 1,12845,2:08,,False,HOU,2010
49,"Fri, Feb 5, 2010",8:00p,,Box Score,@,Memphis Grizzlies,W,,101,83,27,22,W 2,14531,2:12,,False,HOU,2010
50,"Sat, Feb 6, 2010",8:30p,,Box Score,,Philadelphia 76ers,L,,95,102,27,23,L 1,17415,2:17,,False,HOU,2010
51,"Tue, Feb 9, 2010",7:30p,,Box Score,@,Miami Heat,L,,66,99,27,24,L 2,18654,2:06,,False,HOU,2010
52,"Tue, Feb 16, 2010",8:30p,,Box Score,,Utah Jazz,L,,95,104,27,25,L 3,14942,2:14,,False,HOU,2010
53,"Wed, Feb 17, 2010",8:00p,,Box Score,@,Milwaukee Bucks,W,,127,99,28,25,W 1,11685,2:07,,False,HOU,2010
54,"Sat, Feb 20, 2010",8:30p,,Box Score,,Indiana Pacers,L,,115,125,28,26,L 1,16550,2:15,,False,HOU,2010
55,"Sun, Feb 21, 2010",7:00p,,Box Score,@,New Orleans Hornets,L,,94,102,28,27,L 2,14504,2:15,,False,HOU,2010
56,"Wed, Feb 24, 2010",8:30p,,Box Score,,Orlando Magic,L,,92,110,28,28,L 3,15749,2:07,,False,HOU,2010
57,"Fri, Feb 26, 2010",8:30p,,Box Score,,San Antonio Spurs,W,,109,104,29,28,W 1,18195,2:24,,False,HOU,2010
58,"Sat, Feb 27, 2010",9:00p,,Box Score,@,Utah Jazz,L,,110,133,29,29,L 1,19911,2:12,,False,HOU,2010
59,"Mon, Mar 1, 2010",8:30p,,Box Score,,Toronto Raptors,W,,116,92,30,29,W 1,13943,2:13,,False,HOU,2010
60,"Wed, Mar 3, 2010",8:30p,,Box Score,,Sacramento Kings,L,,81,84,30,30,L 1,15651,2:23,,False,HOU,2010
61,"Sat, Mar 6, 2010",8:00p,,Box Score,@,Minnesota Timberwolves,W,,112,98,31,30,W 1,15587,2:09,,False,HOU,2010
62,"Sun, Mar 7, 2010",6:00p,,Box Score,@,Detroit Pistons,L,OT,107,110,31,31,L 1,18422,2:37,,False,HOU,2010
63,"Tue, Mar 9, 2010",7:00p,,Box Score,@,Washington Wizards,W,,96,88,32,31,W 1,10422,2:14,,False,HOU,2010
64,"Sat, Mar 13, 2010",8:30p,,Box Score,,New Jersey Nets,W,,116,108,33,31,W 2,16998,2:12,,False,HOU,2010
65,"Mon, Mar 15, 2010",8:30p,,Box Score,,Denver Nuggets,W,,125,123,34,31,W 3,16369,2:25,,False,HOU,2010
66,"Wed, Mar 17, 2010",8:30p,,Box Score,,Memphis Grizzlies,W,,107,94,35,31,W 4,16142,2:17,,False,HOU,2010
67,"Fri, Mar 19, 2010",8:30p,,Box Score,,Boston Celtics,L,,87,94,35,32,L 1,18198,2:13,,False,HOU,2010
68,"Sun, Mar 21, 2010",1:00p,,Box Score,@,New York Knicks,W,,116,112,36,32,W 1,17242,2:14,,False,HOU,2010
69,"Mon, Mar 22, 2010",8:00p,,Box Score,@,Chicago Bulls,L,,88,98,36,33,L 1,19834,2:21,,False,HOU,2010
70,"Wed, Mar 24, 2010",8:00p,,Box Score,@,Oklahoma City Thunder,L,,104,122,36,34,L 2,18203,2:10,,False,HOU,2010
71,"Thu, Mar 25, 2010",8:30p,,Box Score,,Los Angeles Clippers,L,,93,99,36,35,L 3,15201,2:23,,False,HOU,2010
72,"Sat, Mar 27, 2010",8:30p,,Box Score,,Los Angeles Lakers,L,,101,109,36,36,L 4,18583,2:14,,False,HOU,2010
73,"Tue, Mar 30, 2010",8:30p,,Box Score,,Washington Wizards,W,,98,94,37,36,W 1,14395,2:18,,False,HOU,2010
74,"Wed, Mar 31, 2010",8:30p,,Box Score,@,San Antonio Spurs,L,,102,119,37,37,L 1,18581,2:12,,False,HOU,2010
75,"Fri, Apr 2, 2010",7:30p,,Box Score,@,Boston Celtics,W,OT,119,114,38,37,W 1,18624,2:42,,False,HOU,2010
76,"Sun, Apr 4, 2010",6:00p,,Box Score,@,Indiana Pacers,L,,102,133,38,38,L 1,14201,2:03,,False,HOU,2010
77,"Tue, Apr 6, 2010",8:00p,,Box Score,@,Memphis Grizzlies,W,,113,103,39,38,W 1,11673,2:18,,False,HOU,2010
78,"Wed, Apr 7, 2010",8:00p,,Box Score,,Utah Jazz,W,,113,96,40,38,W 2,15004,2:18,,False,HOU,2010
79,"Fri, Apr 9, 2010",8:30p,,Box Score,,Charlotte Bobcats,W,,97,90,41,38,W 3,16488,2:19,,False,HOU,2010
80,"Sun, Apr 11, 2010",9:00p,,Box Score,@,Phoenix Suns,L,,106,116,41,39,L 1,18422,2:12,,False,HOU,2010
81,"Mon, Apr 12, 2010",10:00p,,Box Score,@,Sacramento Kings,W,,117,107,42,39,W 1,14549,2:12,,False,HOU,2010
82,"Wed, Apr 14, 2010",8:00p,,Box Score,,New Orleans Hornets,L,,115,123,42,40,L 1,18191,2:04,,False,HOU,2010
