Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,season,is_playoff
1,Mahmoud Abdul-Rauf,PG,25,DEN,3,76,10.2,0.511,0.364,0.424,3.0,5.1,4.0,12.3,1.4,0.0,17.0,27.8,,0.0,0.0,-0.1,-0.048,,-1.1,-3.8,-4.9,-0.1,1995,True
2,Michael Adams,PG,32,CHH,1,11,12.6,0.4,0.4,0.0,0.0,12.6,5.9,39.7,0.0,0.0,0.0,21.7,,0.0,0.0,0.0,0.044,,-0.5,-2.3,-2.8,0.0,1995,True
3,Danny Ainge,SG,35,PHO,10,137,15.5,0.7,0.684,0.289,1.7,6.6,4.2,10.9,1.9,0.0,12.3,16.0,,0.4,0.1,0.4,0.152,,2.9,-0.1,2.9,0.2,1995,True
4,Greg Anderson,PF,30,ATL,3,39,10.5,0.37,0.0,0.8,2.8,36.6,18.8,8.7,2.8,4.1,0.0,8.1,,0.0,0.1,0.1,0.106,,-4.4,4.4,0.0,0.0,1995,True
5,Nick Anderson,SG,27,ORL,21,814,14.2,0.559,0.448,0.264,3.1,11.4,7.3,12.5,2.2,0.9,10.1,16.8,,1.1,0.6,1.7,0.101,,1.9,0.4,2.3,0.9,1995,True
6,Willie Anderson,SG,28,SAS,11,97,7.2,0.469,0.05,0.15,6.0,8.0,7.0,16.2,2.8,0.0,27.3,13.7,,-0.1,0.2,0.1,0.029,,-4.3,1.5,-2.8,0.0,1995,True
7,Greg Anthony,PG,27,NYK,11,135,9.9,0.549,0.605,0.289,2.0,7.6,4.9,19.2,0.8,1.3,12.3,17.8,,0.2,0.2,0.4,0.126,,-2.3,-0.4,-2.7,0.0,1995,True
8,B.J. Armstrong,PG,27,CHI,10,288,13.0,0.581,0.367,0.278,1.8,5.8,3.8,14.7,1.1,0.0,6.3,15.2,,0.6,0.1,0.8,0.126,,1.4,0.0,1.4,0.2,1995,True
9,Vincent Askew,SG,28,SEA,4,93,12.2,0.495,0.172,0.103,14.5,5.4,10.0,14.0,1.8,0.0,9.0,16.3,,0.1,0.1,0.2,0.114,,0.6,-0.9,-0.3,0.0,1995,True
10,Stacey Augmon,SG,26,ATL,3,52,16.7,0.545,0.0,0.857,6.2,9.2,7.6,19.1,3.2,0.0,9.4,19.2,,0.1,0.0,0.1,0.129,,0.5,1.9,2.4,0.1,1995,True
11,Anthony Avent,PF,25,ORL,7,40,4.8,0.514,0.143,0.571,11.9,11.7,11.8,0.0,0.0,1.9,18.6,12.4,,0.0,0.0,0.0,0.025,,-6.8,-1.4,-8.2,-0.1,1995,True
12,Charles Barkley*,PF,31,PHO,10,390,26.6,0.58,0.192,0.495,11.9,27.5,19.9,14.3,1.7,2.2,10.1,28.3,,1.2,0.5,1.7,0.206,,6.1,0.1,6.2,0.8,1995,True
13,John Battle,SG,32,CLE,2,7,21.9,0.667,0.333,0.0,0.0,0.0,0.0,50.7,0.0,0.0,0.0,21.7,,0.0,0.0,0.0,0.208,,4.7,0.4,5.1,0.0,1995,True
14,David Benoit,SF,26,UTA,5,167,11.3,0.603,0.556,0.2,5.3,18.6,11.5,3.8,0.6,2.3,17.0,16.5,,0.0,-0.1,0.0,-0.004,,1.3,-1.3,0.0,0.1,1995,True
15,Mookie Blaylock,PG,27,ATL,3,121,14.8,0.501,0.571,0.224,6.2,5.9,6.1,29.9,1.8,0.0,14.3,24.4,,0.0,0.0,0.1,0.026,,4.5,-1.7,2.8,0.1,1995,True
16,Corie Blount,PF,26,CHI,8,20,-7.2,0.0,0.333,0.0,6.3,23.8,15.3,0.0,0.0,0.0,25.0,9.3,,-0.1,0.0,-0.1,-0.154,,-13.7,-3.4,-17.1,-0.1,1995,True
17,Muggsy Bogues,PG,30,CHH,4,145,6.1,0.36,0.067,0.111,2.6,2.9,2.7,31.7,1.6,0.0,16.0,18.5,,-0.2,0.1,-0.1,-0.049,,-3.0,-2.7,-5.7,-0.1,1995,True
18,Anthony Bonner,PF,26,NYK,6,38,13.5,0.55,0.091,0.545,14.5,13.6,14.0,9.9,1.5,2.3,18.0,21.6,,0.0,0.1,0.1,0.097,,-1.1,1.7,0.6,0.0,1995,True
19,Anthony Bowie,SG,31,ORL,17,118,14.7,0.598,0.167,0.214,4.0,8.0,6.0,25.7,0.5,0.7,14.8,21.1,,0.3,0.0,0.3,0.115,,0.1,-0.1,0.0,0.1,1995,True
20,Sam Bowie,C,33,LAL,10,135,5.0,0.326,0.0,0.167,10.9,17.7,14.2,3.7,0.4,4.9,15.7,13.2,,-0.2,0.2,0.0,-0.009,,-6.7,-0.3,-7.0,-0.2,1995,True
21,Chucky Brown,SF,26,HOU,21,326,9.2,0.509,0.026,0.487,7.3,15.9,11.7,3.1,1.4,0.5,11.5,14.9,,0.1,0.3,0.3,0.047,,-3.7,-1.1,-4.8,-0.2,1995,True
22,Dee Brown,SG,26,BOS,4,172,15.7,0.543,0.419,0.258,3.8,9.3,6.5,21.6,1.6,0.4,9.2,19.9,,0.3,0.1,0.5,0.129,,3.0,1.4,4.4,0.3,1995,True
