Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,season,is_playoff
1,Arron Afflalo,SG,23,DET,4,66,8.4,0.539,0.476,0.238,1.9,4.1,3.0,3.0,0.0,2.8,11.5,20.1,,0.0,0.0,0.0,-0.016,,-1.7,0.0,-1.7,0.0,2009,True
2,LaMarcus Aldridge,PF,23,POR,6,237,18.6,0.519,0.038,0.192,4.4,20.9,11.9,7.0,0.7,3.6,8.1,26.3,,0.2,0.2,0.3,0.069,,1.5,-0.6,0.9,0.2,2009,True
3,Ray Allen*,SG,33,BOS,14,565,14.2,0.553,0.485,0.282,2.7,9.0,5.8,11.0,1.4,0.7,9.7,21.0,,0.7,0.5,1.2,0.104,,1.8,-0.4,1.4,0.4,2009,True
4,Tony Allen,SG,27,BOS,10,60,7.9,0.533,0.0,0.125,1.9,16.2,8.9,7.4,1.8,0.0,10.6,7.3,,0.0,0.1,0.1,0.077,,-3.7,1.6,-2.1,0.0,2009,True
5,Rafer Alston,PG,32,ORL,23,740,11.8,0.471,0.405,0.158,0.5,8.9,4.8,22.4,2.4,0.4,11.8,22.1,,-0.2,0.9,0.7,0.043,,-1.2,0.9,-0.3,0.3,2009,True
6,Chris Andersen,C,30,DEN,15,328,18.4,0.661,0.019,0.815,10.5,24.4,17.4,4.1,0.8,8.4,9.8,11.3,,0.9,0.5,1.4,0.203,,0.5,2.4,3.0,0.4,2009,True
7,Carmelo Anthony*,SF,24,DEN,16,612,24.3,0.564,0.205,0.447,5.0,13.3,9.1,19.8,2.4,1.4,8.8,31.5,,1.9,0.6,2.6,0.201,,4.5,0.5,5.0,1.1,2009,True
8,Joel Anthony,C,26,MIA,6,88,13.6,0.85,0.0,0.4,14.0,13.4,13.6,3.7,0.0,6.9,14.5,4.0,,0.2,0.1,0.3,0.181,,-0.1,2.8,2.6,0.1,2009,True
9,Trevor Ariza,SF,23,LAL,23,722,14.7,0.61,0.454,0.346,3.6,12.0,7.8,11.6,2.6,1.2,15.1,15.9,,1.0,1.1,2.2,0.143,,1.3,2.5,3.8,1.0,2009,True
10,Hilton Armstrong,C,24,NOH,4,53,2.3,0.431,0.0,0.769,6.6,12.0,9.2,4.0,4.0,1.6,25.6,21.0,,-0.2,0.0,-0.2,-0.17,,-10.0,0.0,-10.0,-0.1,2009,True
11,Renaldo Balkman,PF,24,DEN,8,20,16.0,0.333,0.167,0.0,11.9,12.1,12.0,7.4,10.4,0.0,0.0,13.7,,0.0,0.1,0.1,0.139,,-1.5,5.8,4.2,0.0,2009,True
12,J.J. Barea,SG,24,DAL,10,221,13.5,0.495,0.225,0.183,1.7,9.1,5.6,25.6,0.7,0.0,7.3,17.8,,0.3,0.0,0.3,0.062,,0.6,-1.8,-1.1,0.0,2009,True
